payment_id,payment_no,order_id,user_id,amount,payment_method,payment_channel,status,transaction_id,paid_at,failure_reason,refund_amount,refunded_at,created_at
395919016224,PAY395919016224,187772578673,286,477.68,alipay,,success,cdc199c1-80cd-44f7-9a6a-d064e48701ae,2025-12-22 18:53:35.499656,,0.00,,2025-12-22 18:53:35.499656
535157434707,PAY535157434707,201917979656,284,8007.28,alipay,,success,a94d11e4-9e0c-4b4d-a7f6-e7a94e2d8896,2025-12-03 04:43:56.499656,,0.00,,2025-12-03 04:43:56.499656
599842444486,PAY599842444486,852275078972,352,2046.84,alipay,,success,a7b39f28-0fca-4d2c-9315-0295ac1e641f,2025-12-26 20:08:17.499656,,0.00,,2025-12-26 20:08:17.499656
876332202455,PAY876332202455,828454058084,279,506.78,alipay,,success,d67f439c-d3de-4fd3-99cb-341b7cfaa7f6,2026-01-01 21:14:22.499656,,0.00,,2026-01-01 21:14:22.499656
151113106939,PAY151113106939,183814980914,302,481.80,credit_card,,success,cb783d68-4279-4f73-820c-0af2c6ba267b,2026-01-21 18:03:08.499656,,0.00,,2026-01-21 18:03:08.499656
996171585119,PAY996171585119,380460818727,82,100.46,alipay,,success,7b7e3374-937e-4e81-96c3-1e336b948491,2025-12-04 13:34:01.499656,,0.00,,2025-12-04 13:34:01.499656
316993069586,PAY316993069586,270006160543,110,1626.84,alipay,,success,a4ba7320-65c1-46ba-b1bb-1a61b12869cf,2025-12-01 22:04:18.499656,,0.00,,2025-12-01 22:04:18.499656
330623557350,PAY330623557350,554752925731,182,10120.47,wechat,,success,d5c58952-999e-47e8-a346-9dd4f24e7f8c,2025-12-29 20:22:44.499656,,0.00,,2025-12-29 20:22:44.499656
901084853790,PAY901084853790,413705870510,132,22286.80,alipay,,success,0b74f750-4385-40ad-9efb-9ad14e9e018c,2025-12-26 06:59:21.499656,,0.00,,2025-12-26 06:59:21.499656
212954030159,PAY212954030159,296005913399,105,1864.02,alipay,,success,f6c0f466-e725-492e-943f-cf501a89c44e,2026-01-10 08:03:56.499656,,0.00,,2026-01-10 08:03:56.499656
300251459140,PAY300251459140,923848392185,181,12545.62,wechat,,refunded,be3f6d90-bd0b-435c-bc58-46401ea22074,2026-01-12 08:21:31.499656,,0.00,2026-01-25 03:21:31.499656,2026-01-12 08:21:31.499656
223880048347,PAY223880048347,703397577637,304,1057.65,credit_card,,success,421e0234-9104-4a6d-b628-f7bb991c3a01,2026-01-10 14:30:36.499656,,0.00,,2026-01-10 14:30:36.499656
222655221164,PAY222655221164,123775918401,351,11355.59,wechat,,refunded,8d4ce26c-249e-4831-a7fd-bf83e07748e0,2025-10-31 02:40:16.499656,,0.00,2025-11-13 19:40:16.499656,2025-10-31 02:40:16.499656
858474130720,PAY858474130720,560002094079,499,9101.51,alipay,,success,3919070f-586d-489b-ac6b-9801ba7da813,2025-11-21 21:02:31.499656,,0.00,,2025-11-21 21:02:31.499656
422499949130,PAY422499949130,335566170831,129,1842.49,credit_card,,success,09e540e1-0fbe-4867-9498-c5f9f65e4675,2025-12-20 02:33:32.499656,,0.00,,2025-12-20 02:33:32.499656
790451590792,PAY790451590792,345010630736,52,9201.95,alipay,,success,0c386adc-75db-4616-bd71-c337a8469fd8,2025-11-21 05:09:52.499656,,0.00,,2025-11-21 05:09:52.499656
562640590385,PAY562640590385,627463391659,43,54.63,wechat,,success,9bf48ece-bdd0-439c-a455-22573181c86b,2025-11-21 12:06:35.499656,,0.00,,2025-11-21 12:06:35.499656
642575597265,PAY642575597265,205890979494,10,7724.09,wechat,,success,956c0769-506a-4568-b2d9-d05776ff24bf,2025-12-15 17:56:41.499656,,0.00,,2025-12-15 17:56:41.499656
