post_id,user_id,content_type,title,content,media_urls,tags,location,product_ids,view_count,like_count,comment_count,share_count,status,is_featured,published_at,created_at,updated_at
1,432,short_video,成功开箱视频,留言开发自己在线.而且拥有说明如何所有一样工作.发表会员音乐的是.深圳开始然后.密码会员经济.,"{https://cdn.example.com/posts/1/media_1.jpg,https://cdn.example.com/posts/1/media_2.jpg,https://cdn.example.com/posts/1/media_3.jpg,https://cdn.example.com/posts/1/media_4.jpg,https://cdn.example.com/posts/1/media_5.jpg,https://cdn.example.com/posts/1/media_6.jpg,https://cdn.example.com/posts/1/media_7.jpg,https://cdn.example.com/posts/1/media_8.jpg,https://cdn.example.com/posts/1/media_9.jpg}","{#测评,#生活好物}",西安,{},409,0,0,0,deleted,f,,2025-05-12 12:08:35.408612,2025-05-12 12:08:35.408612
2,462,image,不过实拍图,一个发生进行企业地方来自那么.成功方法系列提高最大帖子.最大登录发布因此现在简介方面.设计电子一般原因过程比较.很多各种一样欢迎.的话时候你们游戏东西.基本原因位置您的更新没有地区.,"{https://cdn.example.com/posts/2/media_1.jpg,https://cdn.example.com/posts/2/media_2.jpg}",{#真实评价},广州,{},11154,0,0,0,published,f,2025-12-05 18:28:14.408612,2025-12-05 18:28:14.408612,2025-12-09 13:20:14.408612
3,131,image,责任氛围感,参加生产要求一种.不同部分提高精华企业决定下载关于.下载由于这种作者标题一般.开始大家作者环境电影.问题参加的人数据.朋友他的新闻专业音乐.他们这些销售同时.城市建设电话问题非常电影也是.,"{https://cdn.example.com/posts/3/media_1.jpg,https://cdn.example.com/posts/3/media_2.jpg,https://cdn.example.com/posts/3/media_3.jpg}",{#种草},南京,{},45620,0,0,0,under_review,f,,2026-01-13 08:47:42.408612,2026-01-13 08:47:42.408612
4,482,image,商品39氛围感,一点没有感觉搜索相关.操作因为标准以及谢谢更新成功.音乐空间成功投资.,"{https://cdn.example.com/posts/4/media_1.jpg,https://cdn.example.com/posts/4/media_2.jpg,https://cdn.example.com/posts/4/media_3.jpg,https://cdn.example.com/posts/4/media_4.jpg,https://cdn.example.com/posts/4/media_5.jpg,https://cdn.example.com/posts/4/media_6.jpg,https://cdn.example.com/posts/4/media_7.jpg,https://cdn.example.com/posts/4/media_8.jpg}","{#开箱,#生活好物}",广州,{39},90029,0,0,0,published,f,2025-12-07 11:41:06.408612,2025-12-07 11:41:06.408612,2025-12-07 11:41:06.408612
5,251,article,新手必看！简介选购指南,那么一个非常之间国际客户一个.评论一些行业准备出来免费语言.企业文化的话这样电子.一种大小准备国内.作品原因他的对于状态.注意各种评论直接最新.,{},{#使用心得},西安,{},44931,0,0,0,published,f,2025-07-11 09:09:59.408612,2025-07-11 09:09:59.408612,2025-07-11 09:09:59.408612
6,21,article,入手商品66一个月，说说感受,原因一下一点公司历史为什我们.结果新闻类型.最大是一责任解决如果注册一种.结果不会根据之间出现不能.因为介绍游戏.,{},"{#生活分享,#性价比之选,#晒单}",杭州,"{66,136}",10145,0,0,0,published,f,2025-04-22 15:12:55.408612,2025-04-22 15:12:55.408612,2025-04-22 15:12:55.408612
7,309,short_video,可以对比测试,法律基本行业部门游戏.简介部分地址标题报告产品应该男人.不是需要控制资源网上标准应该这里.结果说明所以之后这么北京那些.,"{https://cdn.example.com/posts/7/media_1.jpg,https://cdn.example.com/posts/7/media_2.jpg,https://cdn.example.com/posts/7/media_3.jpg,https://cdn.example.com/posts/7/media_4.jpg,https://cdn.example.com/posts/7/media_5.jpg}","{#日常vlog,#测评}",杭州,{},88113,0,0,0,published,f,2025-07-13 16:41:58.408612,2025-07-13 16:41:58.408612,2025-07-13 16:41:58.408612
8,210,short_video,教育开箱视频,关系评论社区信息当前这是或者.制作一个回复结果解决是否最新.,"{https://cdn.example.com/posts/8/media_1.jpg,https://cdn.example.com/posts/8/media_2.jpg,https://cdn.example.com/posts/8/media_3.jpg,https://cdn.example.com/posts/8/media_4.jpg,https://cdn.example.com/posts/8/media_5.jpg,https://cdn.example.com/posts/8/media_6.jpg,https://cdn.example.com/posts/8/media_7.jpg}","{#必买清单,#开箱}",杭州,{},7140,0,0,0,published,f,2025-07-03 04:55:01.408612,2025-07-03 04:55:01.408612,2025-07-07 17:54:01.408612
9,494,image,商品73氛围感,时候查看今天记者企业.这个帮助详细成为虽然.技术一样下载文化注意只有.帮助价格一下内容.网络地方部分学校简介任何一些文章.原因威望控制查看同时.一次东西类别简介.因为正在帮助等级过程包括成功内容.,"{https://cdn.example.com/posts/9/media_1.jpg,https://cdn.example.com/posts/9/media_2.jpg,https://cdn.example.com/posts/9/media_3.jpg,https://cdn.example.com/posts/9/media_4.jpg,https://cdn.example.com/posts/9/media_5.jpg,https://cdn.example.com/posts/9/media_6.jpg,https://cdn.example.com/posts/9/media_7.jpg,https://cdn.example.com/posts/9/media_8.jpg,https://cdn.example.com/posts/9/media_9.jpg}","{#使用心得,#开箱}",北京,"{73,68,96}",55317,0,0,0,draft,f,,2025-05-15 07:10:15.408612,2025-05-21 00:37:15.408612
10,189,short_video,带你看看我的经验,这样简介使用这是.管理品牌看到喜欢新闻很多责任.中国这种欢迎以后东西资料密码成功.记者之后文章可以数据学校语言.,"{https://cdn.example.com/posts/10/media_1.jpg,https://cdn.example.com/posts/10/media_2.jpg,https://cdn.example.com/posts/10/media_3.jpg,https://cdn.example.com/posts/10/media_4.jpg,https://cdn.example.com/posts/10/media_5.jpg}","{#开箱,#使用心得,#日常vlog}",成都,{},75603,0,0,0,published,f,2025-06-08 12:56:17.408612,2025-06-08 12:56:17.408612,2025-06-08 12:56:17.408612
11,383,image,今日OOTD feat. 商品35,作为大家全国大小.中心什么企业北京搜索电脑.来自浏览一次发布环境状态.当前查看地区本站这些政府.完全只有需要用户当然她的状态.留言标题组织人员那个只要喜欢.一下我的国内汽车今天增加.包括研究免费地方两个.,"{https://cdn.example.com/posts/11/media_1.jpg,https://cdn.example.com/posts/11/media_2.jpg,https://cdn.example.com/posts/11/media_3.jpg,https://cdn.example.com/posts/11/media_4.jpg,https://cdn.example.com/posts/11/media_5.jpg,https://cdn.example.com/posts/11/media_6.jpg,https://cdn.example.com/posts/11/media_7.jpg}","{#好物推荐,#晒单}",深圳,"{35,14,139}",35171,0,0,0,published,f,2025-10-21 14:10:58.408612,2025-10-21 14:10:58.408612,2025-10-26 14:15:58.408612
12,181,image,商品72氛围感,要求上海一切社会服务注册.开始项目经营汽车.企业注册价格所以浏览商品.,"{https://cdn.example.com/posts/12/media_1.jpg,https://cdn.example.com/posts/12/media_2.jpg}",{#真实评价},成都,{72},81588,0,0,0,under_review,f,,2025-08-08 03:07:24.408612,2025-08-08 03:07:24.408612
