session_id,user_id,device_id,start_time,end_time,duration_seconds,event_count,page_view_count,is_bounce,entry_page,exit_page,traffic_source,utm_source,utm_medium,utm_campaign,created_at
1,181,device_181_2,2025-12-27 16:51:46.615573,2025-12-27 17:13:50.615573,1324,39,12,f,post_feed,post_detail,email,douyin,organic,spring_sale,2026-01-25 02:16:11.657608
2,481,device_481_3,2025-11-21 08:14:54.615573,2025-11-21 08:37:01.615573,1327,34,3,f,post_feed,profile,email,douyin,push,recall,2026-01-25 02:16:11.657608
3,81,device_81_2,2025-12-30 18:20:22.615573,2025-12-30 18:44:42.615573,1460,19,15,f,post_feed,post_feed,paid,direct,referral,new_user,2026-01-25 02:16:11.657608
4,192,device_192_3,2026-01-04 12:46:22.615573,2026-01-04 12:53:01.615573,399,17,11,f,home,category,direct,organic,organic,,2026-01-25 02:16:11.657608
5,257,device_257_2,2026-01-03 02:52:46.615573,2026-01-03 02:58:36.615573,350,49,18,f,home,checkout,paid,direct,push,spring_sale,2026-01-25 02:16:11.657608
6,239,device_239_1,2025-11-04 23:38:17.615573,2025-11-04 23:51:45.615573,808,20,11,f,post_feed,category,organic,douyin,push,spring_sale,2026-01-25 02:16:11.657608
7,293,device_293_1,2025-11-05 14:20:08.615573,2025-11-05 14:29:58.615573,590,28,10,f,post_feed,post_detail,organic,weixin,referral,,2026-01-25 02:16:11.657608
8,6,device_6_1,2025-12-20 23:18:33.615573,2025-12-20 23:37:42.615573,1149,17,6,f,home,order_detail,email,organic,paid,brand_day,2026-01-25 02:16:11.657608
9,422,device_422_3,2025-11-08 20:30:00.615573,2025-11-08 21:00:00.615573,1800,24,11,f,product_detail,checkout,paid,organic,push,618,2026-01-25 02:16:11.657608
10,268,device_268_2,2025-12-26 06:26:33.615573,2025-12-26 06:43:33.615573,1020,37,12,f,product_detail,search,referral,direct,paid,double11,2026-01-25 02:16:11.657608
11,391,device_391_2,2026-01-04 19:11:11.615573,2026-01-04 19:14:00.615573,169,46,9,f,post_feed,post_feed,social,xiaohongshu,organic,recall,2026-01-25 02:16:11.657608
