device_id,user_id,device_type,os_version,device_model,device_brand,app_version,push_token,is_primary,first_seen_at,last_seen_at,created_at
D00000001_1,1,ios,iOS 16.0,iPhone 15,Apple,4.3.6,af738b28e0a93deae4483d186d93ab0ae1300f80dbd1bf73b8b367a58cb3cb4b,t,,,2026-01-25 02:16:11.534152
D00000002_1,2,android,Android 12,12 Pro,一加,5.5.0,117bef54c3d1edf59a5d445623a61b2c23952d8049c6b3c6aaa7a4ad7a6b99b0,t,,,2026-01-25 02:16:11.534152
D00000003_1,3,web,macOS 14,Firefox,Browser,4.7.15,,t,,,2026-01-25 02:16:11.534152
D00000003_2,3,android,Android 14,Magic 6 Pro,荣耀,5.3.0,37d350f248e849518a2ac3f4e6ec3b4e37bd34edcaeabafbc668d1ce69fe78f2,f,,,2026-01-25 02:16:11.534152
D00000004_1,4,android,Android 13,12 Pro,一加,3.1.9,d9b9056f60a1aa6915854e7b5659b7ac09bcc3c307d7a466d08f7d05f977878f,t,,,2026-01-25 02:16:11.534152
D00000004_2,4,ios,iOS 16.5,iPhone 13,Apple,5.4.14,38defdcc38857df8118075402e7af822b0a9dfe188bc97f0a2b016b99b20f2aa,f,,,2026-01-25 02:16:11.534152
D00000005_1,5,mini_program,WeChat 8.0,Mini Program,WeChat,4.9.9,,t,,,2026-01-25 02:16:11.534152
D00000005_2,5,web,Ubuntu 22.04,Edge,Browser,4.9.12,,f,,,2026-01-25 02:16:11.534152
D00000006_1,6,ios,iOS 16.5,iPhone 14,Apple,5.6.9,4b1d215d3d8d339f8d0a21e73ad8c010e977fe3066ae90df1f4f72e7e0a81885,t,,,2026-01-25 02:16:11.534152
D00000006_2,6,android,Android 14,Mate 50,华为,4.9.9,45fce56f7dfa800a2d6895ff62729c649aa224d0736c36ae5c1a37eaa8f24676,f,,,2026-01-25 02:16:11.534152
D00000006_3,6,android,Android 13,A2 Pro,OPPO,5.6.2,7a5ceea0bd497d76378d67916e386158dea3b4ad2ad5624f3327d61d273bcf0e,f,,,2026-01-25 02:16:11.534152
D00000007_1,7,android,Android 12,Galaxy S24 Ultra,三星,4.4.18,24b6dbacdedadf22bb4ddd2c03b95f4c3bb439e9cc10e0e01cd9c06ee49e1a59,t,,,2026-01-25 02:16:11.534152
D00000008_1,8,ios,iOS 16.5,iPhone SE,Apple,3.3.17,8feb07941663abf8aa4078ce46845de740374bbcc90feeaa7c883ba0fa33abe6,t,,,2026-01-25 02:16:11.534152
D00000008_2,8,web,macOS 14,Edge,Browser,3.5.12,,f,,,2026-01-25 02:16:11.534152
D00000009_1,9,android,Android 12,真我 GT Neo5,realme,5.1.12,af1d086aaf7cca9ca4863ce4341705f2e7e23508f6968a6309a6960a8d7363b0,t,,,2026-01-25 02:16:11.534152
D00000010_1,10,web,Windows 11,Firefox,Browser,4.6.14,,t,,,2026-01-25 02:16:11.534152
D00000011_1,11,android,Android 12,P60 Pro,华为,4.4.9,5650cfc48d9bb489ba3c6daf9dd03fa5f2729a6f1ec678eece333e31851553d2,t,,,2026-01-25 02:16:11.534152
D00000012_1,12,mini_program,WeChat 8.0,Mini Program,WeChat,4.1.9,,t,,,2026-01-25 02:16:11.534152
D00000013_1,13,android,Android 14,GT5 Pro,realme,5.8.2,d3a9b77aa4c231d8eda41f15c77febbd9e55547ff549141bc0ee2f89f5b82bcc,t,,,2026-01-25 02:16:11.534152
D00000013_2,13,android,Android 12,Redmi K70,小米,3.3.10,c57cb39c56875042b4c879360d594d872b8863b664302f393eed0dc8a504f0a4,f,,,2026-01-25 02:16:11.534152
D00000013_3,13,android,Android 12,真我 GT Neo5,realme,3.3.15,00c6a81aef67048beb91e87a3e05d963fd8d8164fb4dcef10564db8417d4ab43,f,,,2026-01-25 02:16:11.534152
D00000014_1,14,mini_program,WeChat 8.0,Mini Program,WeChat,4.6.16,,t,,,2026-01-25 02:16:11.534152
D00000014_2,14,ios,iOS 17.2,iPhone 15,Apple,4.7.12,f9f1f6bf0e754e53afc98ff876d9da9481667769cea86a048c4a4f8a02546731,f,,,2026-01-25 02:16:11.534152
D00000015_1,15,android,Android 13,90 GT,荣耀,4.1.16,f305073cf47b04d640480cf1e9a71e9ccbf270fcb42660204325092cfa8c40db,t,,,2026-01-25 02:16:11.534152
D00000015_2,15,ios,iOS 16.5,iPhone 14 Pro,Apple,3.2.4,f24ba36d4162157e7c374fe6881ef90033cf25cc4c7e04acb96f32354ecd3884,f,,,2026-01-25 02:16:11.534152
D00000015_3,15,android,Android 14,Find X7 Ultra,OPPO,4.5.1,e991550b3f9244eb2674c5212ed7a1b84d7230b222218a3b9bb05e1168acddce,f,,,2026-01-25 02:16:11.534152
D00000016_1,16,android,Android 12,Y100,vivo,5.9.0,f03199eb14beadf6fa19af34182af5fa5245247223852ce02923b04ba3e5066e,t,,,2026-01-25 02:16:11.534152
D00000017_1,17,ios,iOS 17.1,iPhone 15,Apple,4.1.9,6819b751a200417da103d7322ab1ef7542b4ceafaa0bd7b4123874de7228c135,t,,,2026-01-25 02:16:11.534152
